REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
"REGION1","SEBMSTPH3","SEPM25",2053,13.310177408611
"REGION1","SEBMSTPH3","SEPM25",2054,13.310177408611
"REGION1","SEBMSTPH3","SEPM25",2055,13.310177408611
"REGION1","SEBMSTPH3","SEPM25",2056,13.310177408611
"REGION1","SEBMSTPH3","SEPM25",2057,13.310177408611
"REGION1","SEBMSTPH3","SEPM25",2058,13.310177408611
"REGION1","SEBMSTPH3","SEPM25",2059,13.310177408611
"REGION1","SEBMSTPH3","SEPM25",2060,12.6756570679624
"REGION1","SECO00I00","CO2",2015,1003.0242266154
"REGION1","SECO00I00","CO2",2016,1092.1044952026
"REGION1","SECO00I00","CO2",2017,1181.1856691448
"REGION1","SECO00I00","CO2",2018,1270.265937732
"REGION1","SECO00I00","CO2",2019,1359.3471116742
"REGION1","SECO00I00","CO2",2020,1448.4273802614
"REGION1","SECO00I00","CO2",2021,1450.3255837686
"REGION1","SECO00I00","CO2",2022,1452.2237872758
"REGION1","SECO00I00","CO2",2023,1454.121990783
"REGION1","SECO00I00","CO2",2024,1456.0201942902
"REGION1","SECO00I00","CO2",2025,672.3672142374
"REGION1","SECO00I00","CO2",2026,746.2855026396
"REGION1","SECO00I00","CO2",2027,820.2037910418
"REGION1","SECO00I00","CO2",2028,894.122984799
"REGION1","SECO00I00","CO2",2029,968.0410921302
"REGION1","SECO00I00","CO2",2030,1041.9595616034
"REGION1","SECO00I00","CO2",2031,44.9408806308
"REGION1","SECO00I00","CO2",2032,44.9408806308
"REGION1","SECO00I00","CO2",2033,44.9408806308
"REGION1","SECO00I00","CO2",2034,44.9408806308
"REGION1","SECO00I00","CO2",2035,44.9408806308
"REGION1","SECO00I00","CO2",2036,44.9408806308
"REGION1","SECO00I00","CO2",2037,44.9408806308
"REGION1","SECO00I00","CO2",2038,44.9408806308
"REGION1","SECO00I00","CO2",2039,44.9408806307999
"REGION1","SECO00I00","CO2",2040,44.9408806308001
"REGION1","SECO00I00","CO2",2041,44.9408806307999
"REGION1","SECO00I00","CO2",2042,44.9408806308
"REGION1","SECO00I00","CO2",2043,44.9408806308
"REGION1","SECO00I00","CO2",2044,44.9408806308
"REGION1","SECO00I00","CO2",2045,44.9408806308
"REGION1","SECO00I00","CO2",2046,44.9408806308
"REGION1","SECO00I00","CO2",2047,44.9408806308
"REGION1","SECO00I00","CO2",2048,44.9408806308
"REGION1","SECO00I00","CO2",2049,44.9408806308
"REGION1","SECO00I00","CO2",2050,44.9408806308
"REGION1","SECO00I00","CO2",2051,44.9408806308
"REGION1","SECO00I00","CO2",2052,44.9408806308
"REGION1","SECO00I00","CO2",2053,44.9408806308
"REGION1","SECO00I00","CO2",2054,44.9408806308001
"REGION1","SECO00I00","CO2",2055,44.9408806308
"REGION1","SECO00I00","CO2",2056,44.9408806308
"REGION1","SECO00I00","CO2",2057,44.9408806308
"REGION1","SECO00I00","CO2",2058,44.9408806308
"REGION1","SECO00I00","CO2",2059,44.9408806308001
"REGION1","SECO00I00","CO2",2060,44.9408806308003
"REGION1","SECO00X00","CO2",2015,796.013465939999
"REGION1","SECO00X00","CO2",2016,708.83140086
"REGION1","SECO00X00","CO2",2017,621.648430424999
"REGION1","SECO00X00","CO2",2018,534.466365345
"REGION1","SECO00X00","CO2",2019,447.28339491
"REGION1","SECO00X00","CO2",2020,360.10132983
"REGION1","SECO00X00","CO2",2021,360.10132983
"REGION1","SECO00X00","CO2",2022,360.10132983
"REGION1","SECO00X00","CO2",2023,360.10132983
"REGION1","SECO00X00","CO2",2024,360.10132983
"REGION1","SECO00X00","CO2",2025,360.10132983
"REGION1","SECO00X00","CO2",2026,288.081244935
"REGION1","SECO00X00","CO2",2027,216.06116004
"REGION1","SECO00X00","CO2",2028,144.04016979
"REGION1","SECO00X00","CO2",2029,72.020265966
"REGION1","SEHF00I00","CO2",2015,1000.9098647964
"REGION1","SEHF00I00","CO2",2016,1027.7297601012
"REGION1","SEHF00I00","CO2",2017,1055.2673922336
"REGION1","SEHF00I00","CO2",2018,1083.5429436
"REGION1","SEHF00I00","CO2",2019,1120.88039544
"REGION1","SEHF00I00","CO2",2020,1142.32420224
"REGION1","SEHF00I00","CO2",2021,1154.8902730248
"REGION1","SEHF00I00","CO2",2022,1167.5938364532
"REGION1","SEHF00I00","CO2",2023,1180.437415326
"REGION1","SEHF00I00","CO2",2024,1193.4222710436
"REGION1","SEHF00I00","CO2",2025,1206.5496650064
"REGION1","SEHF00I00","CO2",2026,1219.8221200152
"REGION1","SEHF00I00","CO2",2027,1233.23963607
"REGION1","SEHF00I00","CO2",2028,1246.8047359716
"REGION1","SEHF00I00","CO2",2029,1260.5199425208
"REGION1","SEHF00I00","CO2",2030,1274.380210116
"REGION1","SEHF00I00","CO2",2031,1288.406982564
"REGION1","SEHF00I00","CO2",2032,1302.572509056
"REGION1","SEHF00I00","CO2",2033,1316.9020176
"REGION1","SEHF00I00","CO2",2034,1331.395508196
"REGION1","SEHF00I00","CO2",2035,1346.04036684
"REGION1","SEHF00I00","CO2",2036,1360.849207536
"REGION1","SEHF00I00","CO2",2037,1375.80941628
"REGION1","SEHF00I00","CO2",2038,1390.94622108
"REGION1","SEHF00I00","CO2",2039,1406.247007932
"REGION1","SEHF00I00","CO2",2040,1421.711776836
"REGION1","SEHF00I00","CO2",2041,1437.353141796
"REGION1","SEHF00I00","CO2",2042,1453.158488808
"REGION1","SEHF00I00","CO2",2043,1469.15304588
"REGION1","SEHF00I00","CO2",2044,1485.311585004
"REGION1","SEHF00I00","CO2",2045,1501.646720184
"REGION1","SEHF00I00","CO2",2046,1518.171065424
"REGION1","SEHF00I00","CO2",2047,1534.87200672
"REGION1","SEHF00I00","CO2",2048,1551.749544072
"REGION1","SEHF00I00","CO2",2049,1568.816291484
"REGION1","SEHF00I00","CO2",2050,1586.072248956
"REGION1","SEHF00I00","CO2",2051,1603.517416488
"REGION1","SEHF00I00","CO2",2052,1621.164408084
"REGION1","SEHF00I00","CO2",2053,1639.00060974
"REGION1","SEHF00I00","CO2",2054,1657.026021456
"REGION1","SEHF00I00","CO2",2055,1675.253257236
"REGION1","SEHF00I00","CO2",2056,1693.68231708
"REGION1","SEHF00I00","CO2",2057,1712.313200988
"REGION1","SEHF00I00","CO2",2058,1731.14590896
"REGION1","SEHF00I00","CO2",2059,1750.193055
"REGION1","SEHF00I00","CO2",2060,1769.442025104
"REGION1","SEHYDMPH1","SEHO",2015,19.2379220267001
"REGION1","SEHYDMPH1","SEHO",2016,16.9589782232747
"REGION1","SEHYDMPH1","SEHO",2017,14.4444674488188
"REGION1","SEHYDMPH1","SEHO",2018,13.6709540131189
"REGION1","SEHYDMPH1","SEHO",2019,13.6157851078023
"REGION1","SEHYDMPH1","SEHO",2020,13.2773260010206
"REGION1","SEHYDMPH1","SEHO",2021,13.2622928288778
"REGION1","SEHYDMPH1","SEHO",2022,13.1309936706719
"REGION1","SEHYDMPH1","SEHO",2023,12.8998231933812
"REGION1","SEHYDMPH1","SEHO",2024,12.7211269962118
"REGION1","SEHYDMPH1","SEHO",2025,12.4421623772972
"REGION1","SEHYDMPH1","SEHO",2026,12.4073449833249
"REGION1","SEHYDMPH1","SEHO",2027,12.2675081179209
"REGION1","SEHYDMPH1","SEHO",2028,12.2106373440598
"REGION1","SEHYDMPH1","SEHO",2029,11.6880218785285
"REGION1","SEHYDMPH1","SEHO",2030,11.4716009286233
"REGION1","SEHYDMPH1","SEHO",2031,11.4301887940412
"REGION1","SEHYDMPH1","SEHO",2032,11.2085913273132
"REGION1","SEHYDMPH1","SEHO",2033,10.8112759333685
"REGION1","SEHYDMPH1","SEHO",2034,10.6101718003635
"REGION1","SEHYDMPH1","SEHO",2035,10.378547491461
"REGION1","SEHYDMPH1","SEHO",2036,10.2231101643994
"REGION1","SEHYDMPH1","SEHO",2037,10.0343445783418
"REGION1","SEHYDMPH1","SEHO",2038,9.46918239919871
"REGION1","SEHYDMPH1","SEHO",2039,9.03875147982626
"REGION1","SEHYDMPH1","SEHO",2040,8.86828098062175
"REGION1","SEHYDMPH1","SEHO",2041,8.53102736405908
"REGION1","SEHYDMPH1","SEHO",2042,7.69895546819148
"REGION1","SEHYDMPH1","SEHO",2043,7.5465531400341
"REGION1","SEHYDMPH1","SEHO",2044,7.27021223512562
"REGION1","SEHYDMPH1","SEHO",2045,7.27021223512562
"REGION1","SEHYDMPH1","SEHO",2046,7.19433726251795
"REGION1","SEHYDMPH1","SEHO",2047,7.19433726251795
"REGION1","SEHYDMPH1","SEHO",2048,7.18299147222148
"REGION1","SEHYDMPH1","SEHO",2049,7.08797047848852
"REGION1","SEHYDMPH1","SEHO",2050,7.0706681482864
"REGION1","SEHYDMPH1","SEHO",2051,7.0706681482864
"REGION1","SEHYDMPH1","SEHO",2052,6.77170657397433
"REGION1","SEHYDMPH1","SEHO",2053,6.75610611231668
"REGION1","SEHYDMPH1","SEHO",2054,6.75610611231668
"REGION1","SEHYDMPH1","SEHO",2055,6.49798938307191
"REGION1","SEHYDMPH1","SEHO",2056,6.48891275083473
"REGION1","SEHYDMPH1","SEHO",2057,6.40396114598989
"REGION1","SEHYDMPH1","SEHO",2058,6.23059747025978
"REGION1","SEHYDMPH1","SEHO",2059,5.82446072435965
"REGION1","SEHYDMPH1","SEHO",2060,5.70489027687269
"REGION1","SEHYDMPH2","SEHO",2015,141.55121431783
"REGION1","SEHYDMPH2","SEHO",2016,140.503146939193
"REGION1","SEHYDMPH2","SEHO",2017,140.141499873493
"REGION1","SEHYDMPH2","SEHO",2018,134.2884903043
"REGION1","SEHYDMPH2","SEHO",2019,133.012088895947
"REGION1","SEHYDMPH2","SEHO",2020,132.870266517241
"REGION1","SEHYDMPH2","SEHO",2021,132.232065813064
"REGION1","SEHYDMPH2","SEHO",2022,130.799659788135
"REGION1","SEHYDMPH2","SEHO",2023,130.799659788135
"REGION1","SEHYDMPH2","SEHO",2024,127.651202980863
"REGION1","SEHYDMPH2","SEHO",2025,127.651202980863
"REGION1","SEHYDMPH2","SEHO",2026,127.261191439422
"REGION1","SEHYDMPH2","SEHO",2027,126.871179897981
"REGION1","SEHYDMPH2","SEHO",2028,126.871179897981
"REGION1","SEHYDMPH2","SEHO",2029,123.536935774605
"REGION1","SEHYDMPH2","SEHO",2030,123.094449953042
"REGION1","SEHYDMPH2","SEHO",2031,121.605598621387
"REGION1","SEHYDMPH2","SEHO",2032,118.444377800033
"REGION1","SEHYDMPH2","SEHO",2033,112.391398676864
"REGION1","SEHYDMPH2","SEHO",2034,108.90682283206
"REGION1","SEHYDMPH2","SEHO",2035,102.051838157309
"REGION1","SEHYDMPH2","SEHO",2036,98.1481771834291
"REGION1","SEHYDMPH2","SEHO",2037,91.1017322974256
"REGION1","SEHYDMPH2","SEHO",2038,86.7243845786675
"REGION1","SEHYDMPH2","SEHO",2039,83.9333201657351
"REGION1","SEHYDMPH2","SEHO",2040,81.7634377715345
"REGION1","SEHYDMPH2","SEHO",2041,73.8483308159574
"REGION1","SEHYDMPH2","SEHO",2042,70.6232899241849
"REGION1","SEHYDMPH2","SEHO",2043,65.9006047132779
"REGION1","SEHYDMPH2","SEHO",2044,58.4889672021067
"REGION1","SEHYDMPH2","SEHO",2045,56.5601828517063
"REGION1","SEHYDMPH2","SEHO",2046,54.3364079535975
"REGION1","SEHYDMPH2","SEHO",2047,52.7054505984795
"REGION1","SEHYDMPH2","SEHO",2048,47.2155063187735
"REGION1","SEHYDMPH2","SEHO",2049,45.1271717923289
"REGION1","SEHYDMPH2","SEHO",2050,42.5034577862694
"REGION1","SEHYDMPH2","SEHO",2051,39.567734547057
"REGION1","SEHYDMPH2","SEHO",2052,39.0004450322333
"REGION1","SEHYDMPH2","SEHO",2053,34.2635775834557
"REGION1","SEHYDMPH2","SEHO",2054,29.7904997590712
"REGION1","SEHYDMPH2","SEHO",2055,23.9970555889345
"REGION1","SEHYDMPH2","SEHO",2056,19.1807676080816
"REGION1","SEHYDMPH2","SEHO",2057,18.8120294234462
"REGION1","SEHYDMPH2","SEHO",2058,17.5781747287047
"REGION1","SEHYDMPH2","SEHO",2059,16.457777936928
"REGION1","SEHYDMPH2","SEHO",2060,15.4933857617278
"REGION1","SEHYDMPH3","SEHO",2015,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2016,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2017,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2018,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2019,70.8090772402897
"REGION1","SEHYDMPH3","SEHO",2020,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2021,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2022,70.8090772402896
"REGION1","SEHYDMPH3","SEHO",2023,70.8090772402897
"REGION1","SEHYDMPH3","SEHO",2024,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2025,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2026,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2027,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2028,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2029,69.1355731715598
"REGION1","SEHYDMPH3","SEHO",2030,111.302259697164
"REGION1","SEHYDMPH3","SEHO",2031,113.903523163401
"REGION1","SEHYDMPH3","SEHO",2032,118.358341451484
"REGION1","SEHYDMPH3","SEHO",2033,125.880635968597
"REGION1","SEHYDMPH3","SEHO",2034,130.638315946407
"REGION1","SEHYDMPH3","SEHO",2035,138.79692493006
"REGION1","SEHYDMPH3","SEHO",2036,143.384921702894
"REGION1","SEHYDMPH3","SEHO",2037,150.612132174955
"REGION1","SEHYDMPH3","SEHO",2038,155.546642072856
"REGION1","SEHYDMPH3","SEHO",2039,154.237071709264
"REGION1","SEHYDMPH3","SEHO",2040,161.091490298566
"REGION1","SEHYDMPH3","SEHO",2041,170.925850870706
"REGION1","SEHYDMPH3","SEHO",2042,170.925850870706
"REGION1","SEHYDMPH3","SEHO",2043,183.02405119741
"REGION1","SEHYDMPH3","SEHO",2044,181.492369507386
"REGION1","SEHYDMPH3","SEHO",2045,195.80581396389
"REGION1","SEHYDMPH3","SEHO",2046,199.696463834607
"REGION1","SEHYDMPH3","SEHO",2047,202.918421189725
"REGION1","SEHYDMPH3","SEHO",2048,210.010711259727
"REGION1","SEHYDMPH3","SEHO",2049,213.785066779905
"REGION1","SEHYDMPH3","SEHO",2050,218.017083116167
"REGION1","SEHYDMPH3","SEHO",2051,222.314806355379
"REGION1","SEHYDMPH3","SEHO",2052,224.551057444515
"REGION1","SEHYDMPH3","SEHO",2053,230.67952535495
"REGION1","SEHYDMPH3","SEHO",2054,232.939283603368
"REGION1","SEHYDMPH3","SEHO",2055,242.825372413512
"REGION1","SEHYDMPH3","SEHO",2056,254.069782379134
"REGION1","SEHYDMPH3","SEHO",2057,255.645472168615
"REGION1","SEHYDMPH3","SEHO",2058,253.934890261456
"REGION1","SEHYDMPH3","SEHO",2059,253.934890261456
"REGION1","SEHYDMPH3","SEHO",2060,263.05618669945
"REGION1","SEHYDSPH2","SEHO",2015,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2016,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2017,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2018,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2019,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2020,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2021,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2022,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2023,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2024,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2025,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2026,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2027,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2028,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2029,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2030,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2031,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2032,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2033,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2034,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2035,1.31643573384174
"REGION1","SEHYDSPH2","SEHO",2036,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2037,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2038,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2039,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2040,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2041,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2042,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2043,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2044,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2045,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2046,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2047,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2048,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2049,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2050,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2051,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2052,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2053,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2054,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2055,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2056,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2057,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2058,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2059,0.778537261949414
"REGION1","SEHYDSPH2","SEHO",2060,0.778537261949414
"REGION1","SEHYDSPH3","SEHO",2015,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2016,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2017,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2018,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2019,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2020,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2021,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2022,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2023,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2024,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2025,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2026,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2027,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2028,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2029,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2030,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2031,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2032,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2033,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2034,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2035,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2036,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2037,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2038,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2039,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2040,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2041,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2042,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2043,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2044,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2045,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2046,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2047,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2048,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2049,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2050,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2051,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2052,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2053,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2054,4.14925368732831
"REGION1","SEHYDSPH3","SEHO",2055,4.14925368732831
"REGION1","SENG00I00","CO2",2015,242.50770690048
"REGION1","SENG00I00","CO2",2016,242.50770690048
"REGION1","SENG00I00","CO2",2017,242.50770690048
"REGION1","SENG00I00","CO2",2018,242.50770690048
"REGION1","SENG00I00","CO2",2019,242.50770690048
"REGION1","SENG00I00","CO2",2020,242.50770690048
"REGION1","SENG00I00","CO2",2021,242.50770690048
"REGION1","SENG00I00","CO2",2022,242.50770690048
"REGION1","SENG00I00","CO2",2023,242.50770690048
"REGION1","SENG00I00","CO2",2024,242.50770690048
"REGION1","SENG00I00","CO2",2025,726.92059189248
"REGION1","SENG00I00","CO2",2026,726.92059189248
"REGION1","SENG00I00","CO2",2027,726.92059189248
"REGION1","SENG00I00","CO2",2028,726.92059189248
"REGION1","SENG00I00","CO2",2029,726.92059189248
"REGION1","SENG00I00","CO2",2030,726.92059189248
"REGION1","SENG00I00","CO2",2031,1126.022985472
"REGION1","SENG00I00","CO2",2032,1126.022985472
"REGION1","SENG00I00","CO2",2033,1126.022985472
"REGION1","SENG00I00","CO2",2034,1126.022985472
"REGION1","SENG00I00","CO2",2035,1126.022985472
"REGION1","SENG00I00","CO2",2036,1126.022985472
"REGION1","SENG00I00","CO2",2037,1126.022985472
"REGION1","SENG00I00","CO2",2038,1126.022985472
"REGION1","SENG00I00","CO2",2039,1126.022985472
"REGION1","SENG00I00","CO2",2040,1126.022985472
"REGION1","SENG00I00","CO2",2041,1126.022985472
"REGION1","SENG00I00","CO2",2042,1126.022985472
"REGION1","SENG00I00","CO2",2043,1126.022985472
"REGION1","SENG00I00","CO2",2044,1126.022985472
"REGION1","SENG00I00","CO2",2045,1126.022985472
"REGION1","SENG00I00","CO2",2046,1126.022985472
"REGION1","SENG00I00","CO2",2047,1126.022985472
"REGION1","SENG00I00","CO2",2048,1126.022985472
"REGION1","SENG00I00","CO2",2049,1126.022985472
"REGION1","SENG00I00","CO2",2050,1126.022985472
"REGION1","SENG00I00","CO2",2051,1126.022985472
"REGION1","SENG00I00","CO2",2052,1126.022985472
"REGION1","SENG00I00","CO2",2053,1126.022985472
"REGION1","SENG00I00","CO2",2054,1126.022985472
"REGION1","SENG00I00","CO2",2055,1126.022985472
"REGION1","SENG00I00","CO2",2056,1126.022985472
"REGION1","SENG00I00","CO2",2057,1126.022985472
"REGION1","SENG00I00","CO2",2058,1126.022985472
"REGION1","SENG00I00","CO2",2059,1126.022985472
"REGION1","SENG00I00","CO2",2060,1126.02298547201
"REGION1","SESODIFH1","SESO",2015,0.00105889641132809
"REGION1","SESODIFH1","SESO",2016,0.00105889641132809
"REGION1","SESODIFH1","SESO",2017,0.00105889641132809
"REGION1","SESODIFH1","SESO",2018,0.00105889641132809
"REGION1","SESODIFH1","SESO",2019,0.00105889641132809
"REGION1","SESODIFH1","SESO",2020,0.00105889641132809
"REGION1","SESODIFH1","SESO",2021,0.00105889641132809
"REGION1","SESODIFH1","SESO",2022,0.00105889641132809
"REGION1","SESODIFH1","SESO",2023,0.00105889641132809
"REGION1","SESODIFH1","SESO",2024,0.00105889641132809
"REGION1","SESODIFH1","SESO",2025,0.00105889641132809
"REGION1","SESODIFH1","SESO",2026,0.00103427091339023
"REGION1","SESODIFH1","SESO",2027,0.00103427091339023
"REGION1","SESODIFH1","SESO",2028,0.00103427091339023
"REGION1","SESODIFH1","SESO",2029,0.00103427091339023
"REGION1","SESODIFH1","SESO",2030,0.00103427091339023
"REGION1","SESODIFH1","SESO",2031,0.00103427091339023
"REGION1","SESODIFH1","SESO",2032,0.00103427091339023
"REGION1","SESODIFH1","SESO",2033,0.000535604580148513
"REGION1","SESODIFH1","SESO",2034,0.000535604580148513
"REGION1","SESODIFH1","SESO",2035,0.000446337150123761
"REGION1","SESODIFH1","SESO",2036,0.000292427788012119
"REGION1","SESOUTPH2","SESO",2015,0.319072581445407
"REGION1","SESOUTPH2","SESO",2016,0.319072581445407
"REGION1","SESOUTPH2","SESO",2017,0.319072581445407
"REGION1","SESOUTPH2","SESO",2018,0.319072581445407
"REGION1","SESOUTPH2","SESO",2019,0.319072581445407
